카테고리,용어,의미
Developer Platform & Library,다음 간편로그인,로그인 관련 모바일 UI 제공
Account,다음 회원,다음서비스의 계정서비스를 적용하기 위한 가이드
Storage,Apache Druid,자바로 작성된 분산 데이터 저장소
Developer Platform & Library,DeviceFarm,모바일 테스트 자동화 시스템
Managed Service,Logstash,"비정형 로그 데이터에서 구조를 도출해, 데이터의 복잡도나 형식에 상관없이 데이터를 사용할 수 있도록 하는 도구"
API,로컬 API,"키워드로 특정 장소 정보를 조회하거나, 좌표를 주소 또는 행정구역으로 변환하는 등 장소에 대한 정보를 제공"
Application,리뷰도비,GitHub 저장소 활동을 카카오톡/카카오워크와 연결해 실시간 알림을 제공하는 워크플로우 자동화 도구
API,문자 메시지 API,국내 및 해외 사용자에게 문자 메시지를 보내는 기능
Storage,미러 저장소,전사 미러 저장소
Storage,Varlog,분산 로그 스토리지
Terminology,방탄톡,"톡 SLO 99.999%/년, 최소 99.995%/분기, RTO 5분, KCP 99.999%
카카오의 서비스 중 카카오톡, 특히 메시지 수발신과 로그인에 집중하여 이러한 핵심 서비스의 장애 예방, 복구 시간 단축 및 영향 최소화를 목표로 기술적인 조치를 실행"
API,비즈니스 인증,서비스가 카카오 비즈니스 자산을 안전하게 운영할 수 있도록 하는 Oauth 2.0 기반의 인증 서비스
Application,"빌링시스템(결제,환불,코인,정산,증빙 등)","카카오 내외 결제,정산,코인,환불,증빙 서비스"
Developer Platform & Library,사내 GitHub,Git 서비스를 제공하는 제공자/호스팅 웹 서비스
Account,사내계정시스템,카카오 및 공동체의 사내계정을 관리하는 시스템
Developer Platform & Library,사라마 패키지(sarama package),"카프카 연결을 위해 사용할 수 있는 Golang 라이브러리 중 하나로, 순수한 Go 언어로 만들어졌으며 MIT 라이선스 기반"
Application,Supervisor,UNIX와 유사한 운영 체제에서 여러 프로세스를 모니터링하고 제어할 수 있도록 하는 클라이언트/서버 시스템
Support,Arbiter,카카오 클라우드 제품 사용자와 제품 운영/개발자 간 소통 비용을 낮추고 업무 효율을 높이기 위한 시스템
Managed Service,Ark Olive,PM Provisioning 자동화 서비스(인프라 내부 도구)
API,음성 API,"서비스 사용자의 음성을 인식하거나, 문자로 된 서비스 콘텐츠를 음성 합성하는 기능을 제공"
